Week,Workout,Exercise_Order,Exercise,Sets,Reps,RPE,Load_%
1,1,A,Squat,1,3,5,80
1,1,A,Squat,1,3,7,85
1,1,A,Squat,1,3,6,82.5
1,1,B,Tempo 3:1:3 (squat),3,5,7,77.5
1,1,C,2Ct Pause (bench),1,3,6,82.5
1,1,C,2Ct Pause (bench),2,3,8,87.5
1,1,C,2Ct Pause (bench),2,3,,82.5
1,2,A,Bench,1,7,6,70
1,2,A,Bench,1,7,8,77.5
1,2,A,Bench,1,7,,70
1,2,A,Bench,2,7,,65
1,2,B,Deadlift,1,3,5,80
1,2,B,Deadlift,1,3,7,85
1,2,B,Deadlift,1,3,5,80
1,2,C,Halt Deadlift,1,3,6,75
1,2,C,Halt Deadlift,1,3,8,80
1,2,C,Halt Deadlift,1,3,6,75
1,3,A,Squat,1,1,5,85
1,3,A,Squat,1,1,7,90
1,3,A,Squat,1,7,8,77.5
1,3,A,Squat,2,7,,70
1,3,B,Close Grip (bench),1,4,6,80
1,3,B,Close Grip (bench),1,4,8,85
1,3,B,Close Grip (bench),1,4,,77.5
1,3,B,Close Grip (bench),2,8,8,75
1,4,A,Bench,1,1,6,87.5
1,4,A,Bench,1,1,8,92.5
1,4,A,Bench,1,1,7,90
1,4,A,Bench,2,5,8,82.5
1,4,B,Deadlift,1,1,5,85
1,4,B,Deadlift,1,1,7,90
1,4,B,Deadlift,1,5,8,82.5
1,4,B,Deadlift,2,5,,72.5
2,1,A,Squat,1,3,6,82.5
2,1,A,Squat,1,3,8,87.5
2,1,A,Squat,1,3,7,85
2,1,B,Tempo 3:1:3 (squat),3,5,7,77.5
2,1,C,2Ct Pause (bench),1,3,6,82.5
2,1,C,2Ct Pause (bench),2,3,8,87.5
2,1,C,2Ct Pause (bench),2,3,,82.5
2,2,A,Bench,1,7,6,70
2,2,A,Bench,1,7,8,77.5
2,2,A,Bench,1,7,,70
2,2,A,Bench,2,7,,65
2,2,B,Deadlift,1,3,6,82.5
2,2,B,Deadlift,1,3,8,87.5
2,2,B,Deadlift,1,3,6,82.5
2,2,C,Halt Deadlift,1,3,6,75
2,2,C,Halt Deadlift,1,3,8,80
2,2,C,Halt Deadlift,1,3,6,75
2,3,A,Squat,1,1,6,87.5
2,3,A,Squat,1,1,8,92.5
2,3,A,Squat,1,7,8,77.5
